epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/cat,val/AP/civilian,val/AP/cow,val/AP/dog,val/AP/horse,val/AP/rescuer,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_enc,val/class_error,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
40,6749,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,6799,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,6849,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,6887,,,,,,,,,,,,,,,,,,0.4974225163459778,0.4521241784095764,0.4866161048412323,0.47051122784614563,0.6253300905227661,0.5774361491203308,0.836633563041687,291.5848693847656,284.49609375,295.76239013671875,4.7893290519714355,0.8688564896583557,0.5228942632675171,0.6419950127601624,4.093749523162842,0.04956945776939392,0.05019817873835564,0.05525984242558479,0.6141262054443359,0.6271358132362366,0.62440025806427,0.23563283681869507,0.23977656662464142,0.2510652244091034,0.8684930801391602,0.5182400345802307,0.5453294515609741,0.6430800557136536,0.9114677906036377,0.7786551713943481
40,6887,3856.1669921875,3812.268310546875,3745.456787109375,0.20384597778320312,2.8088924884796143,0.03016434982419014,0.031489208340644836,0.038426388055086136,0.4209040701389313,0.47533780336380005,0.47236210107803345,0.1482272893190384,0.1529145985841751,0.16880211234092712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,6899,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,6949,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,6999,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,7049,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,7055,,,,,,,,,,,,,,,,,,0.5028948187828064,0.4516126215457916,0.4958225190639496,0.4679550528526306,0.6285478472709656,0.5716971158981323,0.8250486254692078,293.1566467285156,284.41253662109375,295.966064453125,5.598877429962158,0.8728734850883484,0.5257241129875183,0.6392858028411865,4.08640718460083,0.04998897388577461,0.050740763545036316,0.05437037721276283,0.6162512302398682,0.6191946864128113,0.6188845634460449,0.23714622855186462,0.24217084050178528,0.248971089720726,0.86677086353302,0.5197550058364868,0.5529755353927612,0.6406717896461487,0.8843687176704407,0.7765709161758423
41,7055,3863.205322265625,3816.470703125,3656.321044921875,0.28184133768081665,2.8295345306396484,0.030628744512796402,0.03181697800755501,0.03628377616405487,0.42842450737953186,0.481625497341156,0.4644186496734619,0.1537514328956604,0.1585867702960968,0.16837041079998016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7099,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7149,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7199,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7223,,,,,,,,,,,,,,,,,,0.48072123527526855,0.41831377148628235,0.4822928011417389,0.4696650505065918,0.6455739140510559,0.5432115793228149,0.8318721055984497,294.4830322265625,292.68145751953125,296.31591796875,4.881803035736084,0.8738648891448975,0.5258823037147522,0.6355971097946167,4.265873908996582,0.050788283348083496,0.05177996680140495,0.057519666850566864,0.6273820996284485,0.6598328351974487,0.6513355374336243,0.24665963649749756,0.25036513805389404,0.2664165496826172,0.8604351282119751,0.5066297054290771,0.5499858260154724,0.6175435185432434,0.8488351106643677,0.8195249438285828
42,7223,3859.8544921875,3809.846435546875,3732.137939453125,0.35127022862434387,2.7452552318573,0.02947579137980938,0.03053370490670204,0.03597797453403473,0.41874372959136963,0.4606207311153412,0.4573157727718353,0.14771857857704163,0.15156887471675873,0.16503217816352844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7249,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7299,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7349,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7391,,,,,,,,,,,,,,,,,,0.4868261218070984,0.4347870349884033,0.4807099997997284,0.46207395195961,0.6321575045585632,0.5711804628372192,0.8207710385322571,292.37860107421875,287.7650146484375,296.14361572265625,5.342559814453125,0.8693861961364746,0.5258126258850098,0.639388382434845,4.108497142791748,0.04976588487625122,0.05034592002630234,0.05397443100810051,0.6112473011016846,0.6232717037200928,0.6228324770927429,0.24251309037208557,0.2436644583940506,0.2541796565055847,0.8487741947174072,0.5112891793251038,0.5400912165641785,0.6266319751739502,0.8564749956130981,0.7924885153770447
43,7391,3855.908935546875,3830.1611328125,3772.953125,0.2589378356933594,2.7026548385620117,0.029064228758215904,0.02967187575995922,0.03561481833457947,0.41116687655448914,0.45282885432243347,0.4521481692790985,0.14544637501239777,0.14835821092128754,0.16357409954071045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7399,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7449,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7499,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7549,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7559,,,,,,,,,,,,,,,,,,0.49275335669517517,0.44688117504119873,0.5051603317260742,0.4803638756275177,0.6380857229232788,0.5618705153465271,0.8359211087226868,293.2349853515625,286.8720703125,296.2532653808594,4.457505702972412,0.8667164444923401,0.5253180265426636,0.6381593346595764,4.108038425445557,0.049522385001182556,0.0502798855304718,0.05471089482307434,0.6125490069389343,0.6314573884010315,0.6200577020645142,0.23963341116905212,0.24208617210388184,0.2539849281311035,0.8656744360923767,0.5208525061607361,0.5599403381347656,0.6405460834503174,0.8901517987251282,0.7905610203742981
44,7559,3857.283935546875,3804.97705078125,3653.233154296875,0.22371451556682587,2.753242015838623,0.029644764959812164,0.030760018154978752,0.03603272885084152,0.418959379196167,0.47038641571998596,0.45888370275497437,0.14704850316047668,0.15123994648456573,0.16312462091445923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,7599,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,7649,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,7699,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,7727,,,,,,,,,,,,,,,,,,0.49350565671920776,0.4358041286468506,0.5212205648422241,0.4728120267391205,0.6385985612869263,0.5650447010993958,0.8394709825515747,294.7206115722656,290.1331481933594,296.2297668457031,4.027917861938477,0.87049800157547,0.527823269367218,0.6339451670646667,4.131502628326416,0.05037860944867134,0.051279377192258835,0.0549112968146801,0.6110845804214478,0.6372191309928894,0.6216279864311218,0.24251775443553925,0.2441960871219635,0.2526486814022064,0.8668702840805054,0.5211642384529114,0.5596845149993896,0.6309833526611328,0.9011478424072266,0.7900120615959167
