epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/cat,val/AP/civilian,val/AP/cow,val/AP/dog,val/AP/horse,val/AP/rescuer,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_2,val/cardinality_error_enc,val/class_error,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_2,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_2,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_2,val/loss_giou_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
40,6749,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,6799,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,6849,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,6887,,,,,,,,,,,,,,,,,,,,,,,,,,0.5533736944198608,0.47463127970695496,0.5656024813652039,0.5198233723640442,0.6554405689239502,0.6073773503303528,0.8758170008659363,296.1749267578125,284.154052734375,291.6318664550781,285.60052490234375,296.3707580566406,3.0187790393829346,0.9201175570487976,0.5671196579933167,0.6596251726150513,6.382308483123779,0.046029362827539444,0.04642588645219803,0.04679762199521065,0.046357788145542145,0.05162811279296875,0.5834553241729736,0.5898742079734802,0.5796025395393372,0.5852532982826233,0.5892552137374878,0.22281482815742493,0.2252913862466812,0.22515681385993958,0.223628968000412,0.23744472861289978,0.9144476652145386,0.5627081394195557,0.6096746325492859,0.6603782773017883,0.9135084748268127,0.8445561528205872
40,6887,3889.321533203125,3642.69580078125,3764.415283203125,3684.466552734375,3895.25048828125,0.10723220556974411,3.6582019329071045,0.02260017581284046,0.024040058255195618,0.023113293573260307,0.022779421880841255,0.033056583255529404,0.341869980096817,0.39100271463394165,0.3511902689933777,0.34384244680404663,0.41715899109840393,0.1107397973537445,0.11700154840946198,0.11338801681995392,0.11169350892305374,0.13977141678333282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,6899,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,6949,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,6999,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,7049,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,7055,,,,,,,,,,,,,,,,,,,,,,,,,,0.5430768132209778,0.46723997592926025,0.5610299706459045,0.514318585395813,0.6513298749923706,0.6044701337814331,0.8660905361175537,296.0522155761719,282.23236083984375,290.6631774902344,285.9608459472656,296.3759765625,3.612492322921753,0.9228415489196777,0.5654173493385315,0.6618726849555969,6.440140247344971,0.04670751094818115,0.04791371151804924,0.04732001945376396,0.04702458903193474,0.05486185476183891,0.5809615254402161,0.5954969525337219,0.5777614116668701,0.5808149576187134,0.5946715474128723,0.22355884313583374,0.22950060665607452,0.22535061836242676,0.22425927221775055,0.24297775328159332,0.9145993590354919,0.5569108724594116,0.5905811786651611,0.6511844396591187,0.907471776008606,0.8326619267463684
41,7055,3887.495849609375,3674.17626953125,3776.823974609375,3699.93310546875,3894.944580078125,0.05805712565779686,3.70686411857605,0.02316225692629814,0.024383533746004105,0.023582901805639267,0.023273248225450516,0.032398924231529236,0.3464319407939911,0.3954463601112366,0.3568320572376251,0.3487531542778015,0.41969385743141174,0.11362721771001816,0.11942418664693832,0.11601756513118744,0.1142323687672615,0.13955017924308777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7099,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7149,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7199,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7223,,,,,,,,,,,,,,,,,,,,,,,,,,0.5378982424736023,0.47367024421691895,0.571323037147522,0.5242469906806946,0.6561558842658997,0.6102638244628906,0.8770789504051208,295.8172302246094,279.49609375,288.4490966796875,283.6553649902344,296.37860107421875,3.246264934539795,0.9176656603813171,0.5667185187339783,0.6643425226211548,6.425386905670166,0.04697972163558006,0.04825481399893761,0.04763641580939293,0.047164902091026306,0.053467802703380585,0.5772377848625183,0.6000260710716248,0.5779221057891846,0.5798801779747009,0.5931539535522461,0.22351831197738647,0.22737835347652435,0.2252207100391388,0.22358465194702148,0.24012170732021332,0.9168238043785095,0.5622596740722656,0.6007371544837952,0.6622151732444763,0.9125192165374756,0.8486539721488953
42,7223,3884.2626953125,3653.136962890625,3776.71142578125,3680.981689453125,3895.302734375,0.06122523173689842,3.6501986980438232,0.022547181695699692,0.02396031841635704,0.023034079000353813,0.02263018861413002,0.033690910786390305,0.3388404846191406,0.3913477957248688,0.3508775234222412,0.3418663740158081,0.41878336668014526,0.11001916229724884,0.11596336960792542,0.11262551695108414,0.11045527458190918,0.14052121341228485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7249,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7299,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7349,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7391,,,,,,,,,,,,,,,,,,,,,,,,,,0.5325754284858704,0.472090482711792,0.5651330351829529,0.5233582258224487,0.6620831489562988,0.5986783504486084,0.8895218968391418,295.7310791015625,281.7493591308594,289.409912109375,285.1958312988281,296.3368225097656,2.9254190921783447,0.9240148663520813,0.5703694820404053,0.6610055565834045,6.445728778839111,0.047467783093452454,0.04808718338608742,0.04782446473836899,0.04704522714018822,0.05336466804146767,0.5808035135269165,0.5921172499656677,0.579550564289093,0.5826098322868347,0.6034209728240967,0.2244928777217865,0.22840744256973267,0.22712737321853638,0.22379735112190247,0.24031488597393036,0.9197052717208862,0.5589864253997803,0.6053142547607422,0.6536352038383484,0.9158549308776855,0.866093635559082
43,7391,3880.637939453125,3637.724609375,3747.578125,3695.607177734375,3895.261474609375,0.09757144004106522,3.6109251976013184,0.022159066051244736,0.02350517548620701,0.022675147280097008,0.02224723994731903,0.032713670283555984,0.33739256858825684,0.3888263702392578,0.3481875956058502,0.34032073616981506,0.4143272936344147,0.10896369069814682,0.11503833532333374,0.1116112545132637,0.1095975935459137,0.1374739408493042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7399,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7449,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7499,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7549,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
